1b23d8,X3166206,Y2583480
8000f7,X7529934,Y5232618
599715,X6196362,Y5326318
6f6ab6,X10392748,Y2747000
9ea5a4,X5180838,Y2344776
1834a9,X885966,Y6643592
de1264,X5990168,Y2188144
f69440,X1533988,Y5042830
69c37b,X7010626,Y6243544
740fce,X2971136,Y3323100
2a88b5,X5099782,Y1452782
ca9400,X8708968,Y5786468
f32866,X1277358,Y3004944
a1bf65,X4429048,Y3846150
dc7d3e,X12162398,Y6865392
4fecee,X7479122,Y1341180
afcc61,X12326810,Y6779140
509386,X3566240,Y5960804
1b8fbe,X2918368,Y6386654
65e4b9,X8790912,Y2394062
03db83,X3966298,Y5906491
b7d300,X11178452,Y3227279
576ec2,X5496890,Y3700552
078986,X5346443,Y4434137
bf7f7a,X4640482,Y2246075
ada03d,X6540582,Y4129799
3f32a8,X8856243,Y4255121
439215,X7149781,Y4452048
d3a950,X7249618,Y5630391
599715,X6195681,Y5326659
1b23d8,X3161103,Y2577240
60bf27,X11519609,Y5796204
6f6ab6,X10392874,Y2747000
8000f7,X7529967,Y5232809
9ea5a4,X5179919,Y2344388
de1264,X5990084,Y2188072
1834a9,X877983,Y6645296
69c37b,X7010813,Y6243772
f69440,X1524494,Y5041415
740fce,X2962568,Y3327050
f32866,X1268179,Y3008472
ca9400,X8709484,Y5787234
2a88b5,X5106391,Y1447391
a1bf65,X4428524,Y3845575
dc7d3e,X12170699,Y6867196
4fecee,X7487561,Y1338090
afcc61,X12336405,Y6781570
1b8fbe,X2917684,Y6386827
509386,X3566120,Y5960902
65e4b9,X8790956,Y2394031
